Date Occur,Year Occurred,Time Occur,Type,Highway,Milepost,Latitude,Longitude,Age,Dispositio,Contributi,Drug Impai,Coll. Type,Fatalities,Injuries,No. of Veh,Driver Age,Contribu_1,Capitol,is_highway
1/1/2017,2017,4:25,Contact,I17,228,33.8554062,-112.1441887,28,Arrest,Impaired - Drugs,THC,,,,,28,,,Y
1/2/2017,2017,22:20,Contact,US60,143,33.63231633,-112.3421018,47,Arrest,Impaired - Alcohol,,,,,,47,,,Y
1/9/2017,2017,23:23,Collision,I17,207.7,33.56377465,-112.1165958,27,Arrest,Impaired - Alcohol,Marijuana,Non Injury,0,0,1,27,,,Y
1/11/2017,2017,0.149305556,Contact,SR101,39,33.6123289,-111.8916231,34,Arrest,Impaired - Alcohol,,,,,,34,,,Y
1/12/2017,2017,2:47,Contact,I17,232,33.89337667,-112.1474733,30,Citation,Not Familiar With Area,,,,,,30,,,Y
1/13/2017,2017,23:26,Collision,I10,258.3,32.22137231,-110.9803176,23,Arrest,Impaired - Alcohol,,Non Injury,0,0,4,23,,,Y
1/15/2017,2017,20:25,Contact,I17,202,33.48194881,-112.1126855,51,Arrest,Impaired - Alcohol,,,,,,51,,,Y
1/23/2017,2017,1:22,Collision,I17,213.8,33.65218765,-112.1145289,25,Long Form,Intentional,,Injury,0,2,2,25,,,Y
1/24/2017,2017,7:35,Contact,I10,259,32.21037,-110.981075,65,Citation,Not Familiar With Area,,,,,,65,,,
1/26/2017,2017,13:43,Contact,I40,321.2,35.1017613,-109.6241255,25,Arrest,Impaired - Alcohol,,,,,,25,,,Y
1/27/2017,2017,21:14,Contact,SR101,6,33.52388,-112.2688233,74,Citation,Elderly,,,,,,74,,,Y
1/29/2017,2017,5:02,Contact,SR303,116,33.6360436,-112.4182516,27,Arrest,Impaired - Alcohol,,,,,,27,,,Y
1/29/2017,2017,5:08,Contact,I17,206.6,33.47449833,-112.107645,27,Arrest,Impaired - Alcohol,,,,,,27,,,
1/31/2017,2017,2.92E-02,Collision,I17,277,34.50586015,-111.998891,29,Arrest,Impaired - Alcohol,,Non Injury,0,0,1,29,,,Y
2/3/2017,2017,15:13,Contact,SR95,232,34.9338962,-114.5978862,25,Arrest,Impaired - Alcohol,,,,,,25,,,Y
2/6/2017,2017,4:59,Collision,SR51,2.3,33.48947643,-112.0430471,,No Contact,Hit and Run,,Injury,0,1,2,,,,Y
2/6/2017,2017,15:48,Contact,I40,53,35.21557333,-114.03568,92,Citation,Elderly,,,,,,92,,,Y
2/12/2017,2017,6:32,Collision,US60,139.6,33.66936279,-112.3903795,85,Deceased,Medical,,Fatal,1,2,2,85,,,Y
2/12/2017,2017,10:20,Collision,I17,307,34.76865998,-111.6455866,44,Long Form,Flight From LE,,Injury,0,2,2,44,,,Y
2/16/2017,2017,2:04,Contact,US60,178,33.38612,-111.8652083,25,Arrest,Impaired - Alcohol,,,,,,25,,,Y
2/16/2017,2017,22:06,Contact,I40,217,35.1650159,-111.3145744,57,Arrest,Impaired - Alcohol,,,,,,57,,,Y
2/18/2017,2017,4:15,Contact,I10,256,32.24675167,-110.990065,79,Citation,Elderly,,,,,,79,,,Y
2/19/2017,2017,3:18,Collision,I17,229,33.87074242,-112.1608711,,No Contact,Hit and Run,,Non Injury,0,0,1,,,,Y
2/20/2017,2017,7.78E-02,Contact,US60,118,33.87980263,-112.6530888,40,Arrest,Impaired - Alcohol,,,,,,40,,,Y
2/20/2017,2017,7:26,Contact,SR101,21,33.67009,-112.1566683,29,Arrest,Intentional,,,,,,29,,,Y
2/20/2017,2017,12:11,Contact,US93,193,34.0295911,-112.8154603,51,Citation,Not Familiar With Area,,,,,,51,,,Y
3/1/2017,2017,0.111805556,Contact,SR51,7,33.5679304,-112.0280616,29,Arrest,Impaired - Alcohol,,,,,,29,,,Y
3/1/2017,2017,3:03,Collision,SR51,8.3,33.56330483,-112.0361578,33,Arrest,Impaired - Alcohol,,Non Injury,0,0,2,33,,,Y
3/6/2017,2017,0:47,Contact,I17,290.9,34.6178469,-111.8464741,30,Arrest,Impaired - Alcohol,,,,,,30,,,Y
3/7/2017,2017,4.24E-02,Contact,I17,205,33.42379333,-112.0485767,31,Arrest,Impaired - Alcohol,,,,,,31,,,
3/13/2017,2017,19:40,Collision,SR202,53.1,33.29136007,-111.9337207,51,Arrest,,,Injury,0,2,3,51,,,Y
3/18/2017,2017,20:35,Contact,I10,166,32.17080382,-111.0731352,70,Citation,Elderly,,,,,,70,,,Y
3/22/2017,2017,21:20,Contact,I10,148,33.46561833,-112.0365,43,Arrest,Impaired - Alcohol,,,,,,43,,,Y
3/24/2017,2017,0.8625,Contact,I17,236,33.96464613,-112.1304405,56,Arrest,Impaired - Drugs,Morphine,,,,,56,,,Y
3/26/2017,2017,1:48,Collision,SR202,8.9,33.43609876,-111.9065833,20,Arrest,Impaired - Alcohol,,Injury,0,3,2,20,,,Y
3/28/2017,2017,14:08,Contact,I17,292,34.6286644,-111.8343961,28,Arrest,Impaired - Alcohol,,,,,,28,,,Y
3/31/2017,2017,4:11,Collision,I17,205,33.53651132,-112.1119681,30,Arrest,Impaired - Alcohol,,Injury,0,1,1,30,,,Y
4/2/2017,2017,5:30,Collision,SR101,53.8,33.40361175,-111.8909578,26,Arrest,Impaired - Alcohol,,Injury,0,2,2,26,,,Y
4/2/2017,2017,19:50,Contact,SR87,196,33.5935817,-111.5936049,22,Arrest,Impaired - Alcohol,,,,,,22,,,Y
4/7/2017,2017,22:33,Contact,I10,144.8,33.4614863,-112.0769578,29,Arrest,Impaired - Alcohol,,,,,,29,,,Y
